紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
聚磺苯乙烯钠散,聚磺苯乙烯钠散（Sodium　Polystyrene　Sulfonate），降血钾药。用于急慢性肾功能不全的高钾血症。
呋塞米片,呋塞米片（Furosemide Tablets），商品名速尿片。1.水肿性疾病 包括充血性心力衰竭、肝硬化、肾脏疾病(肾炎、肾病及各种原因所致的急、慢性肾功能衰竭)，尤其是应用其他利尿药效果不佳时，应用本类药物仍可能有效。与其他药物合用治疗急性肺水肿和急性脑水肿等。2.高血压 在高血压的阶梯疗法中，不作为治疗原发性高血压的首选药物，但当噻嗪类药物疗效不佳，尤其当伴有肾功能不全或出现高血压危象时，本类药物尤为适用。3.预防急性肾功能衰竭 用于各种原因导致肾脏血流灌注不足，例如失水、休克、中毒、麻醉意外以及循环功能不全等，在纠正血容量不足的同时及时应用，可减少急性肾小管坏死的机会。4.高钾血症及高钙血症。5.稀释性低钠血症 尤其是当血钠浓度低于120mmol/L时。6.抗利尿激素分泌过多症(SIADH)。7.急性药物毒物中毒 如巴比妥类药物中毒等。
肥儿丸,肥儿丸，健胃消积，驱虫。用于小儿消化不良，虫积腹痛，面黄肌瘦，食少腹胀泄泻。
益肾液,益肾液，填精补髓，益肾扶阳。用于身体虚弱，肾亏阳痿，梦遗滑精，尿液浑浊。
甲硝唑阴道泡腾片,甲硝唑阴道泡腾片（Metronidazole Vaginal Effervescent Tablets），用于厌氧菌或滴虫性阴道炎。
尼古丁咀嚼胶,尼古丁咀嚼胶（Nicotine Chewing Gum），商品名力克雷。用于治疗烟草依赖。可以减轻尼古丁渴望和戒断症状，从而辅助意愿戒烟的吸烟者戒烟
头孢地尼分散片,头孢地尼分散片（Cefdinir Dispersible Tablets），商品名希福尼。对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏菌、卡他莫拉菌、大肠埃希菌、克雷伯菌属、奇异变形杆菌、普鲁威登斯菌属、流感嗜血杆菌等菌株所引起的下列感染：咽喉炎、扁桃体炎、急性支气管炎、肺炎;中耳炎、鼻窦炎;肾盂肾炎、膀胱炎、淋菌性尿道炎;附件炎、宫内感染、前庭大腺炎;乳腺炎、肛门周围脓肿、外伤或手术伤口的继发感染;毛囊炎、疖、疖肿、痈、传染性脓疱病、丹毒、蜂窝组织炎、淋巴管炎、甲沟炎、皮下脓肿、粉瘤感染、慢性脓皮症;眼睑炎、麦粒肿、睑板腺炎。
假单胞菌,假单胞菌
甲磺酸溴隐亭片,甲磺酸溴隐亭片（Parlodel），商品名佰莫亭、Parlodel。1.分娩后，自发性，肿瘤性、药物引起的闭经。 2.催乳激素引起的月经紊乱、不孕和继发性闭经，排卵减少。 3.抑制泌乳，预防分娩后和早产后的泌乳。 4.产后的乳房充血，催乳激素引起的特殊的乳房触痛、乳房胀痛和烦躁不安。 5.催乳激素引起的雄性激素低下症，如阳萎和精子减少引起的不育。 6.肢端肥大症的辅助治疗。 7.抗震颤麻痹：本品显效快，持续时间长。
银黄胶囊,银黄胶囊，清热解毒。用于急慢性扁桃体炎，急慢性咽喉炎，上呼吸道感染。
大黄,大黄是多种蓼科大黄属的多年生植物的合称，也是中药材的名称。在中国地区的文献里，“大黄”指的往往是马蹄大黄。在中国，大黄主要作药用，但在欧洲及中东，他们的大黄往往指另外几个作食用的大黄属品种，茎红色。气清香，味苦而微涩，嚼之粘牙，有砂粒感。秋末茎叶枯萎或次春发芽前采挖。除去细根，刮去外皮，切瓣或段，绳穿成串干燥或直接干燥。中药大黄具有攻积滞、清湿热、泻火、凉血、祛瘀、解毒等功效。
盐酸特比萘芬乳膏,盐酸特比萘芬乳膏（Terbinafine Hydrochloride Cream），商品名兰美抒、芙林、采特。用于治疗手癣、足癣、体癣、股癣、花斑癣及皮肤念珠菌病等。
阿卡波糖胶囊,阿卡波糖胶囊（Acarbose Capsules），商品名贝希。可用于胰岛素依赖型或非胰岛素依赖型的糖尿病，亦可与其他口服降血糖药或胰岛素联合应用。
解郁安神颗粒,解郁安神颗粒，舒肝解郁，安神定志。用于情志不舒，肝郁气滞等精神刺激所致的心烦，焦虑，失眠，健忘，更年期症候群。
千金止带丸,千金止带丸，补虚止带，和血调经。用于赤白带下、月经不调、腰酸腹痛。
复方菠萝蛋白酶肠溶片,复方菠萝蛋白酶肠溶片，用于慢性支气管炎、喉炎、百日咳、哮喘等
儿童清热口服液,儿童清热口服液，用于内蕴伏热 , 外感时邪引起的高热不退,烦燥不安,咽喉肿痛,大便秘结等症。
红草止鼾颗粒,红草止鼾颗粒，宣肺利咽，畅通气道。用于肺气不宣、气道阻塞所致睡眠呼吸暂停综合症。
蒙脱石散,蒙脱石散（Montmorillonite Powder），商品名必奇、思克特。用于成人及儿童急、慢性腹泻。
他达拉非片,他达拉非片（Tadalafil Tablet），商品名希爱力。治疗男性勃起功能障碍。需要性刺激以使本品生效。他达拉非不能用于女性。
盐酸司来吉兰片,盐酸司来吉兰片（Selegiline　Hydrochloride　Tablets），商品名金思平、咪多吡。单用治疗早期帕金森病或与左旋多巴或与左旋多巴及外周多巴脱羧酶抑制剂合用。思吉宁与左旋多巴合用特别适用于治疗运动波动例如由于大剂量左旋多巴治疗引起的剂末波动。
双黄消炎片,双黄消炎片，消炎。用于咽喉痛、腹泄、痢疾、慢性痢疾。
银屑颗粒,【药 名】 银屑颗粒
前列舒乐胶囊,前列舒乐胶囊，补肾益气，化瘀通淋。用于肾脾双虚，气滞血瘀，前列腺增生，慢性前列腺炎；面色晃白，神疲乏力，腰膝疲软无力，小腹坠胀，小便不爽，点滴不出，或尿频、尿急、尿道涩痛。
烟酰胺注射液,烟酰胺注射液
替普瑞酮胶囊,替普瑞酮胶囊（Teprenone Capsules），商品名施维舒。1.急性胃炎、慢性胃炎急性加重期，胃粘膜病变(糜烂、出血、潮红、浮肿)的改善。2.胃溃疡。
注射用硫普罗宁,注射用硫普罗宁（Tiopronin for Injection），1 用于改善各类急慢性肝炎的肝功能。
眼氨肽注射液,眼氨肽注射液（Ocular Extractives Injection），用于非化脓性角膜炎、虹膜睫状体炎、中心视网膜炎、玻璃体浑浊、巩膜炎等眼疾。
对乙酰氨基酚片,对乙酰氨基酚片（Paracetamol Tablets），是以对乙酰氨基酚为基本成分的片剂制品，商品名有：必理通、扑热息痛片、新斯立定、保达琳。本品属于解热镇痛类药，用于感冒发热、头痛、关节痛等。不良反应较轻微，偶有导致胃肠出血。所以不宜过量服用本品。本品为非处方药物（OTC）。
血美安胶囊,血美安胶囊，清热养阴，凉血活血。用于原发性血小板减少性紫癜血热伤阴挟瘀证，症见皮肤紫癜、齿衄、鼻衄、妇女月经过多、口渴、烦热、盗汗等。亦可用于肿瘤化疗引起的白细胞减少症中医属热毒伤阴血瘀证患者。
复方硫黄乳膏,复方硫黄乳膏，解毒，杀虫，疗疮，止痒。主用于疥癣、湿疹等皮肤病及脂溢性炎
美他多辛胶囊,美他多辛胶囊（Metadoxine Capsules），商品名欣立得。酒精性肝病。
清肺散结丸,清肺散结丸，商品名参灵丸。清热解毒、活血止痛、消肿止痛、止咳化痰，用于肺癌、肺结核、淋巴结核、气管炎、瘰疬等疾病。
金胃泰胶囊,【药品名称】金胃泰胶囊
益脉康片,益脉康片，活血化瘀，有改善脑血循环，增加脑血流量，增加心肌对缺血、缺氧的耐受性，改善微循环的作用。用于缺血性脑血管病及脑出血后遗瘫痪，眼底视网膜静脉阻塞，冠心病，血管炎性皮肤病，风湿病。
注射用重组人干扰素α2a,注射用重组人干扰素α2a（Recombinant Human Interferonα2a for Injection），商品名福康泰、贝尔芬、万复洛、因特芬。1.病毒性疾病：伴有HBV-DNA、DNA多聚酶阳性或HBeAg阳性等病毒复制标志的成年慢性活动性乙型肝炎病人、伴有HCV抗体阳性和谷丙转氨酶(ALT)增高，但不伴有肝功能代偿失调(Child分类A)的成年急慢性丙型肝炎病人、尖锐湿疣、带状疱疹、小儿病毒性肺炎及上呼吸道感染、慢性宫颈炎、丁型肝炎等。2.肿瘤：毛状细胞白血病、多发性骨髓瘤、非何杰金氏淋巴瘤、慢性白血病以及卡波济氏肉瘤、肾癌、喉乳头状瘤、黑色素瘤、蕈样肉芽肿、膀胱癌、基底细胞癌等。
丙戊酸钠缓释片,丙戊酸钠缓释片（Sodium Valproate Sustained-release Tablets），商品名典泰。主要用于单纯或复杂失神发作、肌阵挛发作，大发作的单药或合并用药治疗，有时对复杂部分性发作也有一定疗效。
转移因子注射液,转移因子注射液（Transfer Factor Injection），临床用于治疗某些抗生素难以控制的病毒性或霉菌性细胞内感染（如带状疱疹，流行性乙型脑炎，白色念珠菌感染，病毒性心肌炎等）；对恶性肿瘤可作为辅助治疗剂（主要用于肺癌，鼻咽癌，乳腺癌，骨肉瘤等）；免疫缺陷病（如湿疹，血小板减少，多次感染综合症及慢性皮肤粘膜真菌病有较好的疗效）。
二十五味獐牙菜丸,二十五味獐牙菜丸
左旋多巴片,左旋多巴片（Levodopa Tablets），商品名思利巴。用于帕金森病及帕金森综合征。
六味地黄丸,六味地黄丸，滋阴补肾。用于头晕耳鸣，腰膝酸软，遗精盗汗。
清咽片,清咽片，清凉解热，生津止渴。用于咽喉肿痛，声嘶音哑，口干舌燥，咽下不利。
精制冠心片,精制冠心片，活血化瘀。用于冠心病，心绞痛。
八宝惊风散,八宝惊风散，祛风化痰，退热镇惊。用于小儿惊风，发烧咳嗽，呕吐痰涎。
盐酸西替利嗪片,盐酸西替利嗪片（Cetirizine Hydrochloride Tablets），是基本成分西替利嗪（第二代抗组胺药物）的片剂制品，商品名有：比特力、贝分、仙利特、赛特赞、昔利、西可韦、达内、威狄敏、雪町、爽特、联双、希瓦丁、斯特林。临床主要用于过敏性疾病，如过敏性鼻炎、荨麻疹等。不良反应较为轻微，嗜睡不明显。价格较第一代抗组胺药物昂贵，患者可酌情选购。
托拉塞米注射液,托拉塞米注射液，商品名特苏尼。适用于需要迅速利尿或不能口服利尿的充血性心力衰竭、肝硬化腹水、肾脏疾病所致的水肿患者。
福康片,福康片
卡托普利片,卡托普利片（Captopril Tablets），1．高血压；2．心力衰竭。
头孢克洛缓释胶囊,头孢克洛缓释胶囊（Cefaclor Sustained-release Capsules），商品名申洛。本品适用于敏感菌引起的下列轻、中度感染：1、由流感噬血杆菌（仅指非β-内酰胺酶产酶菌）、摩拉克菌属（包括β-内酰胺酶产酶菌）及肺炎双球菌引起的慢性支气管炎急性发作；2、由流感嗜血杆菌（仅指非β-内酰胺酶产酶菌）、摩拉克菌属（包括β-内酰胺酶产酶菌）及肺炎双球菌引起的急性支气管炎继发感染；3、由酿脓链球菌所引起的咽炎、扁桃体炎；4、由金黄色葡萄球菌（指甲氧西林敏感株）所引起的非复杂性皮肤及皮肤软组织感染。
清泻丸,清泻丸，清热，通便，消滞。用于肠热、积滞、便秘。
右旋糖酐羟丙甲纤维素滴眼液,右旋糖酐羟丙甲纤维素滴眼液（Dextran and Hypromellose Eye Drops），商品名泪然、倍然。减轻由于泪液分泌不足或暴露在风沙、阳光下、久视屏幕等原因所引起的眼部干涩、刺痛等不适症状、保护眼球免受刺激。
头孢呋辛酯颗粒,头孢呋辛酯颗粒，商品名立健新(头孢呋辛酯)。适用于敏感细菌引起的下列感染：1、上呼吸道感染：包括化脓性链球菌引起的咽炎、扁桃体炎;肺炎链球菌、流感嗜血杆菌(包括产β-内酰胺酶的菌株)、卡他莫拉菌(包括产β-内酰胺酶的菌株)或化脓性链球菌引起的急性细菌性中耳炎;肺炎链球菌或流感嗜血杆菌(仅为非产β-内酰胺酶的菌株)引起的急性细菌性上颌窦炎等。2、下呼吸道感染：包括肺炎链球菌、流感嗜血杆菌(β-内酰胺酶阴性株)或副流感嗜血杆菌(β-内酰胺酶阴性株)引起的慢性支气管炎急性细菌性感染和急性支气管炎的继发细菌感染等。3、泌尿道感染：包括大肠杆菌或肺炎克雷伯菌引起的单纯性泌尿道感染;由产生青霉素酶或不产生青霉素酶的淋病奈瑟氏球菌株引起的单纯性淋病(如尿道炎和子宫颈炎)，以及不产生青霉素酶的淋病奈瑟氏球菌株引起的女性单纯性淋病性直肠炎等。4、皮肤和软组织感染：包括金黄色葡萄球菌(包括β-内酰胺酶产生菌)或化脓性链球菌引起的单纯性皮肤和软组织感染，以及由金黄色葡萄球菌(包括β-内酰胺酶产生菌)或化脓性链球菌引起的脓疱病等。5、 其他：由博氏疏螺旋体引起的早期Lyme病(游走性红斑)等。
头孢泊肟酯片,头孢泊肟酯片（Cefpodoxime Tablets），商品名搏拿、抗之霸，抗菲、维洁信、敏新、司力泰、纯欣、施博(头孢泊肟酯)。呼吸道感染：包括咽喉炎、咽喉脓肿、扁桃体炎、扁桃体周围炎、扁桃体周围脓肿、急性气管支气管炎、慢性支气管炎急性发作、支气管扩张症继发感染、肺炎。泌尿生殖系统感染：包括肾盂肾炎、膀胱炎、前庭大腺炎、前庭大腺脓肿、淋菌性尿道炎等皮肤及软组织感染：包括毛囊炎、疖、疖肿症、痈、丹毒、蜂窝织炎、淋巴管（结）炎瘭疽、化脓性甲沟炎、皮下脓肿、汗腺炎、感染性粉瘤、肛门周围脓肿等。中耳炎、副鼻窦炎。乳腺炎。
肛泰,肛泰，凉血止血，清热解毒，燥湿敛疮，消肿止痛。用于内痔、外痔、混合痔等出现的便血、肿胀、疼痛。
溶菌酶肠溶片,溶菌酶肠溶片（Lysozyme Entric-coated Tablets），临床用于慢性鼻炎、急慢性咽喉炎、口腔溃疡、水痘、带状疱疹和扁平疣等。
碳酸钙片,碳酸钙片（Calcium Carbonate Tablets），商品名协达利、凯思立。用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。
